"","term","content","mycoID","internal_variable_num"
"1188","STEM","  sterile base ""rudimentary or absent, but mycelial fibers often present""^, (Arora), no sterile base or stem (McKnight)",66,18
"1189","ODOR","  unusual or mild^ (Miller)",67,1
"1190","TASTE","  pleasant, mild^, (Miller)",67,2
"1191","EDIBILITY","  edible (McKnight), presumably edible when firm and white inside (Arora)",67,3
"1192","HABITAT","  scattered to gregarious on ground (sometimes partly buried) ""in horse corrals, composted areas, and fields where livestock have been grazing"", all year round in California^, (Arora), single to grouped, ""on bare soil in pastures, barnyards, feedlots"", summer and fall, (McKnight), several to gregarious ""on the ground at low elevations in open sagebrush and saltbush dominated communities, or in grassy or shrubby wet areas in dry prairie""; spring and summer, (Miller)",67,4
"1193","SPORE DEPOSIT",NA,67,5
"1194","MICROSCOPIC","  spores 8-12 x 8-12 microns, round, warted-reticulate^; capillitium branched, thorny, (Arora), spores 8-12 x 8-12 microns, round, warty, brown; capillitium thick-walled, branched, spiny, (McKnight)",67,6
"1195","NAME ORIGIN","  means 'leather'",67,7
"1196","SIMILAR","  The ""thick, tough inner peridium (skin) distinguishes it from Bovista and the thin-skinned Calvatias, while the white, felty outer layer separates it from Scleroderma and the thick-skinned Calvatias"", (Arora - singular genus names in italics). See also SIMILAR section of Scleroderma polyrhizum.",67,8
"1197","SOURCES","  Arora(1)*, McKnight(1)*, Miller(14)*, Lincoff(2)*, Redhead(5), Bates(1), Desjardin(6)*",67,9
"1198","MUSHROOM_ID","67",67,10
"1199","FAMILY","  Phelloriniaceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota",67,11
"1200","LATIN NAME(S)","  Phellorinia herculeana  (Pers.) Kreisel^  Ceska Mykol. 15(4): 196. 1961;  Phellorinia strobilina  Kalchbr.",67,12
"1201","ENGLISH NAME(S)","  urn-like stalked puffball",67,13
"1202","NOTES","  Features include 1) a spore case that narrows downward into a long stem, the outer layer of the spore case white becoming brown, and having erect or pyramidal scales, disintegrating to expose the urn-like inner layer, 2) a stem that is solid, woody, brown, and scaly, with a basal bulb, 3) a spore mass that is powdery brown when mature, and 4) microscopic characters.^ The description is rewritten from Arora(1). RANGE Phellorinia herculeana has been found in NV, AZ, and India, and it occurs throughout the southwestern US after heavy rains but is not common, (Arora). It is found in the Owyhee region (an arid area where Idaho, Oregon, and Nevada intersect) (Trueblood(1) who does not specify the state).",67,14
"1203","CHEMICAL REACTIONS",NA,67,15
"1204","OUTER SURFACE","  spore case 1.5-6cm across and/or high, spherical to ovoid or pear-shaped, outer layer of peridium ""white when fresh but some becoming brown to cinnamon and rupturing irregularly and falling away in pieces, exposing the inner layer""; outer layer scaly, ""the scales erect or pyramidal and often quite large on top"", usually smaller and more or less shingled in lower part; the top eventually ruptures so that old specimens look like wine goblets",67,16
"1205","INNER LAYER","  a cup-like or urn-like expansion of the stem apex, with a 2-5cm irregular mouth forming at the top when old; pinkish buff to cinnamon",67,17
"1206","SPORE MASS","  ""powdery when mature and cinnamon to rusty-brown""",67,18
"1207","STEM","  2-5cm long, 0.8-2cm wide at top, narrowing downward but with a bulb at the base, ""firm, solid, woody"", brown or cinnamon; scaly like the outer layer of the spore case, but scales may wear away when old; not percurrent [not continuing through the cap]; volva ""typically absent, but the basal bulb sometimes splitting or peeling to form a volva-like collar or rim""",68,1
"1208","ODOR",NA,68,2
"1209","TASTE",NA,68,3
"1210","EDIBILITY",NA,68,4
"1211","HABITAT","  single or in small groups, ""occasionally two or three growing from a common base"", ""in desert soil, usually near shrubs""",68,5
"1212","SPORE DEPOSIT",NA,68,6
"1213","MICROSCOPIC","  spores 5-7 x 4.5-6 microns, ""round or nearly round, warty or spiny""; capillitium present but often scanty",68,7
"1214","NAME ORIGIN",NA,68,8
"1215","SIMILAR","  Podaxis pistillaris has a stem that extends into the spore mass.",68,9
"1216","SOURCES","  Arora(1)* (as Phellorina strobilina), Trueblood(1) (as Phellorinia strobilina)",68,10
"1217","MUSHROOM_ID","68",68,11
"1218","FAMILY","  Sclerodermataceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",68,12
"1219","LATIN NAME(S)","  Pisolithus arhizus  (Scop.) Rauschert^  Z. Pilzk. 25(2): 50. 1959;  Pisolithus tinctorius  (Pers.) Coker & Couch  Gasteromycetes E. U.S. Canada 170. 1928;  Pisolithus arenarius  Alb. & Schwein.",68,13
"1220","ENGLISH NAME(S)","  dye-maker's false puffball, dyemaker's puffball, pea-rock, dead-man's-foot, dyeball, dyer's puffball",68,14
"1221","NOTES","  Features include 1) a large spherical to pear-shaped fruitbody, which develops a thick rooting base or stem, 2) peridium (skin) that is thin, brittle, usually ""yellowish, purplish, olive-black, or brown"", often lustrous, soon rupturing irregularly or flaking off to reveal the spore mass, 3) the spore mass containing hundreds of 0.2-0.4cm hard seed-like structures in a sticky dark substance that dries out, the whole spore mass eventually a crumbly mass of brown spores, 4) the lower part of the fruitbody typically persistent, with coarse greenish yellow to brownish fibers attached, 5) growth in waste places and other habitats, and 6) round spiny spores. Stains on the hands and clothing are to be expected when handling this fungus. It can be used as a dye producing mostly browns and golds, but also blacks and dark blues, depending on the mordants used and the type of soil in which it is found, (Arora). It is also used in Europe as an aromatic seasoning when unripe (""the Bohemian truffle""), and in China it is used medicinally, (Arora).^ Pisolithus arhizus also known as Pisolithus tinctorius and Polysaccum pisocarpium. RANGE It is reported that based on intersterility tests and spores, there may be at least 3 biological species that fall under this name, the first from South Africa, the second from Australia, and the third from North America (including BC, MA, SC), Europe (France), and Australia, (Kope). It is very widely distributed but especially common in CA and the Pacific Northwest, (Arora). Oregon State University has collections from WA, OR, GA, MI, Dominican Republic, Mexico, Brazil, Morocco, India and Japan. The University of British Columbia has collections from BC, WA, FL, and LA.",68,15
"1222","CHEMICAL REACTIONS",NA,68,16
"1223","OUTER SURFACE","  4-20cm across, 5-30cm or more high, at first spherical to pear-shaped, then usually club-shaped (with narrowed rooting base or stem), finally breaking up when old ""or taking on the appearance of a large dusty root or stump"", peridium (skin) thin, brittle, ""usually yellowish, purplish, olive-black, or brown"", often lustrous, ""soon ruptures irregularly or flakes away""^, (Arora), ""ochraceous to dirty olive-brown and resembling balls of horse dung lying on the ground, with chrome yellow powdery markings on the submerged part"", (Phillips), peridium dry, thin, smooth or faintly rugose [wrinkled] or tuberculate, at first ochreous then dark brown, (Lincoff(1))",68,17
"1224","INNER LAYER",NA,68,18
"1225","SPORE MASS","  upper part of fruitbody containing hundreds of seed-like peridioles that gradually disintegrate, turning into a crumbly or dusty mass of dark brown or cinnamon brown spores, the disintegrating process starting at the top of the fruitbody and proceeding downward; the peridioles 0.2-0.4cm long, elongated to oval or circular, whitish to greenish yellow, yellow, brownish, or vinaceous, at first embedded ""in a sticky dark or blackish substance which dries out and becomes brittle or crumbly"" when mature^, (Arora), peridioles (pea-shaped chambers that contain the spores) stony, gravel-like, dark brown, (Phillips), flesh at the top of the spore mass when young compact, juicy, marbled, with violet-black peridioles with yellow outline, flesh in the sterile lower part ""has, initially, a marbled appearance, brown, white, or deep yellow, with minute areolas, ochreous brown when mature"", (Lincoff(1))",69,1
"1226","STEM","  lower part of fruitbody typically a fibrous, stem-like, persistent, sterile, rooting base that may have coarse greenish yellow mycelial fibers attached^, (Arora), base 3-10cm in diameter, buried, solid, sturdy, often irregular, with (at first) a tuft of brown mycelial threads, (Lincoff(1))",69,2
"1227","ODOR","  ""mild to aromatic or unpleasant, depending on the age""^, (Arora), strong and pleasant mushroomy (Lincoff(1)), mild when young, unpleasant when old (Miller)",69,3
"1228","TASTE","  sweetish^ (Lincoff(1))",69,4
"1229","EDIBILITY","  not recommended (Arora), not edible (Phillips)",69,5
"1230","HABITAT","  single, widely scattered, or in small groups ""on or along roads, in waste places, and in hardpacked, poor, sandy, or gravelly soil"", mainly late summer and fall, forms mycorrhizal associations with a variety of trees and shrubs^, (Arora), ""in sandy or well drained soils, old lawns, roadsides, and pine woods, July to October"", (Phillips), ""frequent in dry pinewoods, beneath juniper in dunes, in grassland, and in the remains of charcoal kilns"", spring to late fall, (Lincoff(1))",69,6
"1231","SPORE DEPOSIT",NA,69,7
"1232","MICROSCOPIC","  spores 7-12 x 7-12 microns, round, warty or spiny^, (Arora), with coalesced spines (Kope), spores 7-9 microns in diameter excluding spines, round, coarsely spiny to warty, brown, (Buczacki)",69,8
"1233","NAME ORIGIN","  from Latin meaning ""used for dying""^, (Lincoff(1))",69,9
"1234","SIMILAR",NA,69,10
"1235","SOURCES","  Arora(1)* (as Pisolithus tinctorius), Phillips(1)* (as Pisolithus tinctorius), Lincoff(2)* (as Pisolithus tinctorius), Lincoff(1)* (as Pisolithus tinctorius), Miller(14)* (as Pisolithus tinctorius), Schalkwijk-Barendsen(1)* (as Pisolithus tinctorius), Redhead(5) (as Pisolithus tinctorius), Courtecuisse(1)*, Ramsey(1) (as Pisolithus tinctorius), Kope(1) (as Pisolithus tinctorius), AroraPocket* (as Pisolithus tinctorius), Buczacki(1)*, Desjardin(6)*",69,11
"1236","MUSHROOM_ID","69",69,12
"1237","FAMILY","  Sclerodermataceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",69,13
"1238","LATIN NAME(S)","  Scleroderma albidum  Pat. & Trab.^  Bull. Soc. mycol. Fr. 15(1): 57. 1899;  Scleroderma radicans  Lloyd;  Scleroderma tuberoideum  Speg.",69,14
"1239","ENGLISH NAME(S)",NA,69,15
"1240","NOTES","  Features include 1) a spherical or nearly spherical fruitbody that becomes urn-like with the top pyramidal, (eventually opening slightly in star-like fashion), colored pale yellowish to yellowish brown or grayish, with orange tinges, and staining yellowish orange to dark reddish on injury, 2) the surface smooth or scaly with dark reddish cracks at the top, venose laterally, 3) flesh that is corky to woody or brittle, up to 0.2cm thick when dried, and colored whitish or like the surface, 4) a spore mass that is violaceous with olive tints, with slender whitish to yellowish filaments, 5) a base that is rhizomorphic, sometimes well defined like a pseudostem, 6) growth in a variety of habitats, and 7) round spores with blunt conic spines.^ Guzman includes in this species S. cepa Pers. sensu Demoulin (1968) but not S. cepa Pers. sensu Guzman (1967). RANGE Collections were examined from OR, CA, HI, ME, MO, NM, OH, Mexico, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Uruguay, Czech Republic, France, Sweden, Algeria, Morocco, South Africa, India, Australia, New Caledonia, and New Zealand, (Guzman).",69,16
"1241","CHEMICAL REACTIONS",NA,69,17
"1242","OUTER SURFACE","  1.5-6cm across, 1-3.5cm high, spherical or nearly spherical when immature, but becomes urn-like with a pyramidal apex; surface whitish-yellowish, yellowish brown, or grayish, with orange tinges distributed irregularly; when fresh the fruitbody stains lightly yellow-orange or dark reddish on injury or on being cut and on maturation; peridium [covering layer] smooth to scaly with cracks in the apical part, in the lateral parts venose, the scales flat and irregular, colored as the surface when it is smooth, contrasting with the dark reddish cracks, in section the peridium is 0.05-0.2cm thick when dried; the context corky to woody or brittle when dry, whitish or colored as the surface; dehiscence [opening] is irregularly star-like, only in the apical part: it originates with the cracking of the peridium, in general dehiscence rarely observed, (Guzman), peridium smooth to slightly scaly, very scaly on drying when immature, peridium less than 0.1cm when dry, (Sims), 1.5-6cm, cracking to produce irregular, poorly formed, smooth, yellow scales, fissures often colored orange-yellow to red; peridium up to 0.2cm thick; dehiscence irregularly stellate [star-like], (Ramsey)",69,18
"1243","INNER LAYER",NA,70,1
"1244","SPORE MASS","  dark violet to gray-violaceous with olive tints, compact, fleshy to powdery, with slender filaments that are whitish or yellowish^, (Guzman), purple (Ramsey)",70,2
"1245","STEM","  sessile or with rhizomorphic base that in some cases is very well defined in the manner of a pseudostem, the rhizomorphic base whitish, yellowish or colored as the peridium^, (Guzman), base extended to occasionally sessile, (Ramsey)",70,3
"1246","ODOR",NA,70,4
"1247","TASTE",NA,70,5
"1248","EDIBILITY",NA,70,6
"1249","HABITAT","  underground in the immature phase, single or gregarious, at times cespitose, in a variety of habitats^, (Guzman), mostly single; ""occasional under broad-leaved evergreen trees in temperate areas"", (Ramsey)",70,7
"1250","SPORE DEPOSIT",NA,70,8
"1251","MICROSCOPIC","  spores (10.5)13.5-16(17.5) x (10.5)13.5-16(17.5) microns including spines, the spines 0.8-1.6 microns long, yellowish with colorless spines (in KOH)^; basidia not observed; clamp connections absent, (Guzman), spores 11-16 x 11-16 microns, blunt conic spines densely distributed, (Sims)",70,9
"1252","NAME ORIGIN","  means 'white'",70,10
"1253","SIMILAR","  Scleroderma albidum is differentiated from Scleroderma cepa and Scleroderma laeve by spore dimensions, (Guzman). S. laeve has spores 9-14 microns in diameter with blunt spines sparsely distributed, and the peridium smooth, usually coarsely cracked near base, whereas S. albidum has spores 11-16 microns in diameter with blunt spines densely distributed, and the peridium smooth to slightly scaly, very scaly on drying when immature, (Sims). See also SIMILAR section of Scleroderma areolatum, Scleroderma bovista, Scleroderma citrinum, Scleroderma floridanum, Scleroderma hypogaeum, Scleroderma polyrhizum, and Scleroderma verrucosum.",70,11
"1254","SOURCES","  Guzman(3), Sims(1), Ramsey(3)",70,12
"1255","MUSHROOM_ID","70",70,13
"1256","FAMILY","  Sclerodermataceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",70,14
"1257","LATIN NAME(S)","  Scleroderma areolatum  Ehrenb.^  Sylv. mycol. berol. 15: 27. 1818",70,15
"1258","ENGLISH NAME(S)","  small potato, leopard earthball, common cracking earthball",70,16
"1259","NOTES","  Features include 1) a spherical fruitbody that is smooth when young, then scaly by cracking that starts in top part, finally appearing like leopard skin with polygonal flat or slightly pyramidal dark brown scales on a pale yellowish background, 2) the covering about 0.1cm thick, fleshy-rubbery to hard and whitish or yellowish, 3) a spore mass that is white and fleshy-rubbery becoming powdery and dark violet or dark olive-brown with very thin yellow filaments, 4) the surface, flesh, and spore mass all turning reddish when injured in the young state, 5) well developed mycelial stem-like extension at the base, 6) growth on soil or occasionally wood scraps, and 7) round spiny spores.^ RANGE It is not common in the Pacific Northwest. It has been reported from BC (Schalkwijk-Barendsen). Collections were examined from OR, ON, AL, CA, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, NC, NJ, NY, OH, PA, SC, TN, VA, WI, WV, Jamaica, Mexico, Argentina, Brazil, Uruguay, Austria, Belgium, Czech Republic, Denmark, France, Germany, Hungary, Italy, Netherlands, Poland, Portugal, Spain, Sweden, Switzerland, Ukraine, United Kingdom, Tunisia, South Africa, India, Japan, Kazakhstan, and New Zealand, (Guzman), and Cameroon and Australia, (Sims). A Paul Kroeger collection from BC is at the University of British Columbia. It also occurs in WA (M. Beug, pers. comm.).",70,17
"1260","CHEMICAL REACTIONS",NA,70,18
"1261","OUTER SURFACE","  (0.5)1-4(5.5)cm across, spherical or slightly pear-shaped, with the top part blunt; smooth when young, like leather, then scaly by cracking that starts in the apical part, finally appearing like leopard skin (like S. verrucosum), the scales well defined in the apical part of the fruitbody: polygonal, flat or slightly pyramidal, less than 0.1cm across, at times falling off, colored dark brown in contrast to the yellowish whitish color of the surface; the surface when young readily turns dark reddish when rubbed or cut; peridium [covering] about 0.1cm thick, its consistency fleshy and rubbery when fresh and young, or hard and fragile when dry and mature, and its color whitish or yellowish, readily turning dark reddish when cut (at least when young); dehiscence [opening] is irregular across an apical pore that is conspicuous but not well defined^, (Guzman), 1.5-4cm across, tuber-like, spherical to somewhat pear-shaped; appressed brownish scales on yellowish background, peridium [covering] thin, leathery, tough, ruptures irregularly at the top, (Breitenbach), ""yellow-brown to tawny-gold; dotted with tiny darker brown scales, each surrounded with a clear area"", (Phillips), surface (of peridium) areolate [cracked like dried mud], (Sims), 1.5-5cm across, scales coffee-colored on a yellow background without cracks, (there seem to be two variations: one where the scales are more like freckles on an expanded skin and another where the edges of the scales actually peel back and stand out as scales), peridium 0.1cm thick, ""opening by apical pore or occasional fissure"", (Ramsey)",71,1
"1262","INNER LAYER",NA,71,2
"1263","SPORE MASS","  white when young, fleshy-rubbery, later powdery and dark violet or dark olive-brown with very thin yellow filaments that give a cottony aspect; readily turning dark reddish when cut or rubbed, at least when young^, (Guzman), firm and whitish when young, ""then brown to black and marbled with white, powdery and with interspersed glebal hyphae when mature, without capillitium"", (Breitenbach), ""purplish-coffee color with yellow threads"", (Ramsey)",71,3
"1264","STEM","  sessile or at times more or less pseudostipitate [with a pseudostem], whitish mycelium well developed, reaching at times 2cm deep^, (Guzman), usually with a short longitudinally furrowed stem, 1-2cm long, almost completely buried, with attached remains of mycelium and soil at base, yellowish, bald to finely scaly, (Breitenbach), base sessile to occasionally extended slightly (Ramsey)",71,4
"1265","ODOR","  slightly sweet, fungous, or not appreciable^, (Guzman), strong when cut open, unpleasant, (Phillips)",71,5
"1266","TASTE","  slightly sweet, fungous, or not appreciable^, (Guzman)",71,6
"1267","EDIBILITY","  poisonous (Phillips)",71,7
"1268","HABITAT","  gregarious to cespitose, sometimes single, developing in soil or humus, occasionally on scraps of wood, in woods and open places, including gardens, in damp shady places^, (Guzman), single to gregarious, on soil ""at forest edges, as well as in fallow fields and in hardwood forests"", summer to fall, (Breitenbach), in deciduous and conifer woods (Ramsey)",71,8
"1269","SPORE DEPOSIT",NA,71,9
"1270","MICROSCOPIC","  spores (10)11-17(18) x (10)11-17(18) microns, round, including the spines that are 0.5-2 microns long, yellowish brown in KOH with the spines colorless to yellowish, the spines tending to fragment at maturity; when very immature spores 9-14 x 9-14 microns, very thick-walled and almost smooth^; basidia not observed; clamp connections absent, (Guzman), spores 11-13 x 11-13 microns excluding spines, round, with sharp spines up to 2 microns long; basidia not seen, clamp connections not observed, (Breitenbach), spores 10-18 x 10-18 microns, round, with abundant spines up to 1.5 microns high, (Phillips), spores 11-15 x 11-15 with long narrow spines < 2 microns long, (Sims), spores 9-14 microns in diameter excluding spines, round, dark brown; no capillitium, (Buczacki)",71,10
"1271","NAME ORIGIN","  means 'with small spaces, areolate'",71,11
"1272","SIMILAR","  Scleroderma verrucosum is covered in small scales (as opposed to having areolate surface cracked like dried mud) and has smaller spores 8-13 microns with either blunt conic spines or sharp narrow ones <1 micron long (as opposed to long narrow spines <2 microns), (Sims). S. verrucosum is smooth at first then with fine non-areolate scales, whereas S. areolatum is ornamented from the outset by fine areolate scales, (Courtecuisse). Scleroderma cepa has a thicker, smoother peridium (usually more than 0.1cm when dry), opens in star-like fashion, and has smaller spores (7.5)8.8-12(13.6) microns in diameter, (Guzman). Scleroderma laeve has a thicker, smoother peridium, opens in star-like fashion, and has smaller spores (9)10.2-13.6(15.2) microns in diameter, (Guzman). Scleroderma albidum has a thicker peridium (over 0.1cm), smooth or cracked on the apical part or with poorly defined scales the same color as the background, but with the cracks often yellowish orange, and the opening is star-like, whereas S. areolatum has a peridium less than 0.1cm thick, fine scales without cracking, and dehiscence across an apical pore, (Guzman). Scleroderma citrinum has prominent inherent rosette-like scales (i.e. each scale often with a central wart), and spores are strongly reticulate and smaller (8-13 microns across), (Arora). Other Pacific Northwest species have reticulate or somewhat reticulate spores. See also SIMILAR section of Scleroderma bovista, Scleroderma floridanum, Scleroderma hypogaeum, and Scleroderma polyrhizum.",71,12
"1273","SOURCES","  Guzman(3), Breitenbach(1)*, Ramsey(1), Sims(1), Schalkwijk-Barendsen(1)*, Redhead(5) (as S. aerolatum), Arora(1), Phillips(1), Courtecuisse(1)*, Buczacki(1)*, Siegel(2)*",71,13
"1274","MUSHROOM_ID","71",71,14
"1275","FAMILY","  Sclerodermataceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",71,15
"1276","LATIN NAME(S)","  Scleroderma bovista  Fr.^  Syst. mycol. (Lundae) 3(1): 48. 1829;  Scleroderma fuscum  (Corda) E. Fisch.",71,16
"1277","ENGLISH NAME(S)","  potato earthball",71,17
"1278","NOTES","  Features include 1) a spherical to nearly spherical or pear-shaped fruitbody, at times with irregular lobes, (eventually cracking irregularly to form an extended cup), 2) a surface that is whitish to dark yellowish or yellowish brown with dark reddish stains where injured, smooth, rarely scaly, generally becoming cracked at top and venose on base, 3) flesh that is fleshy to woody, 4) a spore mass that is violaceous brown with yellow filaments, 5) growth on soil or sand, and 6) strongly spiny and reticulate spores.^ RANGE Collections were examined from WA, OR, AL, CA, NY, SC, Jamaica, Argentina, Uruguay, Austria, Belgium, Czech Republic, Estonia, France, Germany, Hungary, Italy, Poland, Russia, Sweden, Morocco, and South Africa, (Guzman), and Australia (Sims). It has also been reported from OR by Smith, J.E.(1).",71,18
"1279","CHEMICAL REACTIONS",NA,72,1
"1280","OUTER SURFACE","  1.5-4.5cm across when dried, up to 8cm across when opened and extended; spherical to nearly spherical or pear-shaped, at times with irregular lobes; surface whitish to more or less dark yellowish or yellowish brown with irregularly distributed dark reddish marks, mainly on injured areas; smooth, rarely scaly, generally cracked in the apical part in more mature specimens and venose on the base; scales small and irregular in form; context 0.1-0.2cm thick when dried, fleshy or more or less woody, whitish or yellowish brown; dehiscence [opening] irregular from cracks on the apical part of the peridium [covering layer], the cracks sometimes radial, tending to lead to separation of most of the peridium and leaving the fruitbody in the form of a more or less extended cup^, (Guzman), smooth to slightly scaly or cracked, peridium less than 0.1cm thick, (Sims), 1.5-4.5cm (up to 8cm) across; peridium 0.2cm thick, pallid yellow, slightly roughened by small bumps, no cracks, occasional small scales, opening irregularly across top, (Ramsey), 2-5cm across, more or less spherical or pear-shaped, ""smooth or largely covered with smooth, dark brown scales"", when mature rupturing irregularly at top, (Buczacki)",72,2
"1281","INNER LAYER","  peridium thin (less than 0.1cm), leathery, tough^, (Buczacki)",72,3
"1282","SPORE MASS","  violaceous brown, powdery, with conspicuous yellow filaments, compact when immature as well as alveolate, fleshy and whitish to violet^, (Guzman), violet-coffee with yellow threads (Ramsey), ""initially whitish, firm, then brown and yellowish marbled, then deep brown to black, powdery"", (Buczacki)",72,4
"1283","STEM","  sessile or with a short, chambered pseudostem^, (Guzman), stem lacking (Sims), sessile to rare extension (Ramsey), ""tapering below into indefinite, short, thick, rooting, stem-like structure"" (1-2cm) with matted mycelium, (Buczacki)",72,5
"1284","ODOR",NA,72,6
"1285","TASTE",NA,72,7
"1286","EDIBILITY",NA,72,8
"1287","HABITAT","  on or under the ground at maturity, gregarious or sometimes cespitose, on soil or sometimes in sand^, (Guzman), mostly gregarious, rare under conifers, (Ramsey), on soil ""on dry, free-draining sites, often alongside roads and paths""; single or in small, trooping or +/- tufted groups; summer to fall, (Buczacki)",72,9
"1288","SPORE DEPOSIT",NA,72,10
"1289","MICROSCOPIC","  spores (13.5)15-18(19.5) x (13.5)15-18(19.5) microns including spines, strongly spiny and reticulate, spines 1.6-3.5 microns long, easily fragmenting as the spore matures, immature spores are smooth, irregular in form, and 8-16 x 8-16 microns; spore color dark brown in KOH, including immature ones, the spines and reticulation colorless to yellowish in KOH^, (Guzman), spores 11-17 x 11-17 microns, with very dense reticulum, (Sims), spores 9-11 microns in diameter excluding spines, round, spiny with interconnecting ribs to produce a net-like pattern; no capillitium, (Buczacki)",72,11
"1290","NAME ORIGIN",NA,72,12
"1291","SIMILAR","  S. bovista is differentiated from Scleroderma meridionale, Scleroderma hypogaeum, and Scleroderma michiganense by the diameter of the spores, (Guzman). Scleroderma citrinum has a very scaly surface. Scleroderma cepa, Scleroderma laeve, Scleroderma albidum, Scleroderma areolatum, and Scleroderma verrucosum do not have reticulate spores, and the last two have well defined scales. Scleroderma meridionale has a rhizomorphic base 3/4 of its total length. Scleroderma floridanum has small, well defined scales, and smaller spores with less well defined reticulum. Scleroderma polyrhizon has smaller less reticulate spores. See also SIMILAR section of Scleroderma polyrhizum.",72,13
"1292","SOURCES","  Guzman(3) (as Scleroderma fuscum), Sims(1) (as Scleroderma fuscum), Ramsey(3) (as Scleroderma fuscum), Smith, J.E.(1) (as Scleroderma fuscum), Buczacki(1)*",72,14
"1293","MUSHROOM_ID","72",72,15
"1294","FAMILY","  Sclerodermataceae, Order Boletales, Class Agaricomycetes, Phylum Basidiomycota",72,16
"1295","LATIN NAME(S)","  Scleroderma cepa  (Vaill.) Pers.^  Syn. meth. fung.: 155. 1801;  Scleroderma flavidum  Ellis & Everh.",72,17
"1296","ENGLISH NAME(S)","  smooth earthball",72,18
"1297","NOTES","  Features include 1) a spherical to somewhat flattened or somewhat pear-shaped fruitbody that is whitish becoming yellowish or brownish, staining reddish when rubbed or injured, 2) the surface smooth when young with veins on sides, eventually cracking at the top to form large irregular yellowish gray scales that are flat or somewhat pyramidal, 3) a hard covering 0.1-0.3cm thick, white in cross-section but staining reddish when cut, breaking into 6-8 star-like lobes and opening out at least somewhat, 4) stem absent or as a root-like rhizomorphic base up to 8cm long, 5) growth in woods or in sandy soil in arid areas, and 6) spiny spores without a reticulum. This is a common Scleroderma in the Pacific Northwest.^ Guzman specifies that this species is not S. cepa Pers. sensu Demoulin 1968 who interpreted the species as having large spores (10.4-16.9 microns), the taxon identified by Guzman(3) as S. albidum. Coccia et al. in 1990 separated S. flavidum (here considered a synonym) by ""a peridium with two microscopically distinguished layers, the internal layer made up of large hyphae"", (in Sims). RANGE Collections were examined from WA, OR, ON, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, MA, MD, MI, MN, NC, NJ, NM, NY, OH, OK, PA, TX, VA, WI, Cuba, Mexico, Belgium, Czech Republic, France, Hungary, Italy, Portugal, United Kingdom, South Africa, India, Australia, and New Zealand, (Guzman), and Germany and the Philippines, (Sims). It was reported from BC (in Redhead). There are collections from BC at the Pacific Forestry Centre and the University of British Columbia.",73,1
"1298","CHEMICAL REACTIONS",NA,73,2
"1299","OUTER SURFACE","  1.5-4cm across when fresh, 3-6cm across when opened out, shape spherical, nearly spherical, or somewhat pear-shaped; whitish when young, becoming yellowish with orange-yellow tints, cherry red when injured or when cracking begins, the scales are yellowish gray; when young smooth, with veins on the sides, sometimes slightly pubescent [downy], when mature, it cracks on the apical part forming large irregular scales that are flat or somewhat pyramidal; peridium [covering layer] 0.05-0.2cm thick fresh or dried (presumably usually > 0.1cm as it is included only in the section of the key with thickness > 0.1cm), corky, rigid, and brittle, whitish to colored as surface, hard in the inner layer to soft in the outer layer, staining reddish when cut; opening typically star-like: the peridium breaks into 6-8 segments, revealing the spore mass, and after the spore mass disappears completely (from wind, rain, etc.), the inner side of the rays is smooth and colored as the exterior^, (Guzman), 1.5-9cm across, nearly spherical, flattened, or lobed; ""whitish when young, becoming straw-colored to yellowish brown or leather brown, turning deep pinky-brown if rubbed; smooth becoming very finely cracked and scaly, especially on the top where exposed to light""; peridium 0.1-0.3cm thick, ""when fresh, hard, quite tough"", ""white in cross-section, becoming reddish or pinkish brown when cut"", (Phillips), surface ""whitish or pallid, soon becoming buff, yellowish, straw-colored, or brownish, often staining reddish or vinaceous when rubbed (especially the underside), then discoloring brownish; smooth when young, often becoming areolate (cracked to form scales)"" when old or when exposed to light (especially on top); ""eventually rupturing irregularly or splitting at the top into lobes which may peel back slightly"", (Arora), peridium scaly to coarsely cracked, (Sims), 2-6cm across, peridium 0.1-0.2cm thick, yellow to orange, smooth but when mature forming large irregular scales over top by cracking of surface; opening in star-like fashion, (Ramsey), 3-4cm across, more or less spherical to onion-shaped, peridium fairly thick (more than 0.1cm), leathery, tough, when mature rupturing in a +/- star-like pattern at top, (Buczacki)",73,3
"1300","INNER LAYER",NA,73,4
"1301","SPORE MASS","  whitish, fleshy and compact when young; when mature dark-colored, turning dark violet and finally violaceous olive-gray in the powdery phase; with yellowish filaments that are very thin and not easily differentiated^, (Guzman), ""white and firm when young, soon becoming black or purple-black, then paler or browner and powdery"", (Phillips), mouse-gray (Sims), violet with yellow threads (Ramsey), white at first, firm, then purple-brown, powdery, (Buczacki)",73,5
